Label,Chapter,Question,Answer,Hint,Counter-example/Negation,Tags
prop:monotone-approx-bounds,Sequences,State Monotone Approximation of Bounds.,"For nonempty bounded $S$: there exist monotone sequences $(x_n),(y_n)\subseteq S$ with $x_n\to\sup S$, $y_n\to\inf S$.",,,LRA::Sequences
thm:MCT,Sequences,State the Monotone Convergence Theorem.,Every bounded monotone sequence converges.,Increasing bounded: converges to $\sup\{x_n\}$. Decreasing bounded below: converges to $\inf\{x_n\}$.,,LRA::Sequences
thm:LUB-iff-MCT,Sequences,State LUB $\Leftrightarrow$ MCT.,TFAE: (i) LUB property; (ii) bounded monotone sequences converge.,,,LRA::Sequences
thm:order-limit-theorem,Sequences,State the Order Limit Theorem.,"If $x_n\le y_n$ for all $n$ and $x_n\to x$, $y_n\to y$, then $x\le y$.","If $x>y$, take $\varepsilon=(x-y)/2$; eventually $x_n>y_n$, contradiction.",Strict inequality $x_n<y_n$ does NOT force $x<y$: $(0)\to 0$ and $(1/n)\to 0$.,LRA::Sequences
thm:squeeze-theorem,Sequences,State the Squeeze Theorem.,"If $x_n\le y_n\le z_n$ for all $n$ and $x_n\to L$, $z_n\to L$, then $y_n\to L$.",For $\varepsilon>0$: eventually $L-\varepsilon<x_n\le y_n\le z_n<L+\varepsilon$.,,LRA::Sequences
thm:algebra-of-limits,Sequences,State the Algebra of Limits.,If $x_n\to x$ and $y_n\to y$: $x_n+y_n\to x+y$; $x_n-y_n\to x-y$; $cx_n\to cx$; $x_ny_n\to xy$; if $y\neq 0$ then $x_n/y_n\to x/y$.,Each rule follows from the $\varepsilon$-$N$ definition; products use the rectangle decomposition.,,LRA::Sequences
cor:limit-respects-upper-bounds,Sequences,State: limits respect upper bounds.,"If $x_n\le b$ for all $n$ and $x_n\to x$, then $x\le b$.",Apply OLT with $y_n=b$.,,LRA::Sequences
cor:conv-times-bounded,Sequences,State: convergent times bounded is bounded.,If $(x_n)\to x$ and $(y_n)$ is bounded then $(x_ny_n)$ is bounded.,$(x_n)$ is bounded (convergent $\Rightarrow$ bounded); product of bounded sequences is bounded.,,LRA::Sequences
prop:limit-polynomial-sequence,Sequences,"If $x_n \to x$ and $p$ is a polynomial, does $p(x_n) \to p(x)$?",Yes. $x_n \to x \Rightarrow p(x_n) \to p(x)$ for any polynomial $p$.,Induction on degree using the Algebra of Limits: sum and product rules handle each term.,,LRA::Sequences
thm:convergent-implies-cauchy,Sequences,State: convergent implies Cauchy.,If $(a_n)$ converges then $(a_n)$ is Cauchy.,,,LRA::Sequences
cor:convergent-series-cauchy-partial-sums,Sequences,State: convergent series have Cauchy partial sums.,"If $\sum a_n$ converges and $s_n=\sum_{k=1}^n a_k$, then $(s_n)$ is Cauchy.",,,LRA::Sequences
thm:cauchy-bounded,Sequences,State: Cauchy sequences are bounded.,Every Cauchy sequence is bounded.,,,LRA::Sequences
thm:bolzano-weierstrass,Sequences,State Bolzano--Weierstrass.,Every bounded sequence in $\mathbb{R}$ has a convergent subsequence.,,,LRA::Sequences
thm:cauchy-subseq-limit,Sequences,State: Cauchy with convergent subsequence converges.,If $(a_n)$ Cauchy and $(a_{n_k})\to L$ then $a_n\to L$.,,,LRA::Sequences
thm:algebra-cauchy,Sequences,State the Algebra of Cauchy Sequences.,"If $(a_n),(b_n)$ are Cauchy and $c\in\mathbb{R}$: $(a_n+b_n)$, $(a_n-b_n)$, $(ca_n)$, $(a_nb_n)$ are all Cauchy.",,,LRA::Sequences
thm:linear-comb-cauchy,Sequences,State: linear combinations of Cauchy sequences are Cauchy.,"If $(a_n),(b_n)$ are Cauchy and $\alpha,\beta\in\mathbb{R}$ then $(\alpha a_n+\beta b_n)$ is Cauchy.",,,LRA::Sequences
thm:cauchy-divergence,Sequences,State the Cauchy Divergence Criterion.,"$(a_n)$ diverges if $\exists\varepsilon_0>0$ such that $\forall N\,\exists m,n\ge N:|a_m-a_n|\ge\varepsilon_0$.",Negation of the Cauchy condition; useful to prove divergence.,,LRA::Sequences
thm:contractive-converges,Sequences,Does every contractive sequence converge?,Every contractive sequence (where $|x_{n+1} - x_n| \leq c|x_n - x_{n-1}|$ for some $c < 1$) converges.,Contractive sequences are rapidly Cauchy (after rescaling); apply the rapidly Cauchy $\Rightarrow$ Cauchy $\Rightarrow$ convergent chain.,,LRA::Sequences
thm:conv-seq-bounded,Sequences,State: convergent sequences are bounded.,If $(x_n)$ converges then $(x_n)$ is bounded.,Take $\varepsilon=1$; terms beyond $N$ lie within 1 of the limit; finitely many terms before $N$ are bounded.,,LRA::Sequences
prop:bounded-not-convergent,Sequences,Is every bounded sequence convergent?,No. Bounded does not imply convergent.,"Counterexample: $(-1)^n$ is bounded by $1$ but oscillates between $\pm 1$, never settling.",,LRA::Sequences
thm:conv-tail-property,Sequences,State: convergence is a tail property.,$(x_n)\to L$ iff every $k$-tail $(x_{n+k})_{n\ge 1}\to L$.,Adding or removing finitely many terms does not affect convergence or its limit.,,LRA::Sequences
thm:finite-modification,Sequences,State the Finite Modification Theorem.,If $(x_n)$ and $(y_n)$ differ in only finitely many terms: either both converge to the same limit or neither converges.,,,LRA::Sequences
cor:tails-converge,Sequences,Do tails of a convergent sequence converge?,"If $(x_n) \to L$, then every $k$-tail converges to $L$.",Direct consequence of convergence being a tail property.,,LRA::Sequences
thm:mct,Sequences,State the Monotone Convergence Theorem (MCT).,Every bounded monotone sequence converges: an increasing bounded sequence converges to $\sup\{x_n\}$; decreasing bounded below converges to $\inf\{x_n\}$.,"Let $L=\sup\{x_n\}$; given $\varepsilon$, the $\varepsilon$-characterisation gives $N$ with $x_N>L-\varepsilon$; monotonicity propagates.",Fails without boundedness: $(n)$ is monotone and diverges.,LRA::Sequences
prop:monotone-unbounded-diverge,Sequences,Does an unbounded monotone sequence converge?,No. Every monotone unbounded sequence diverges (to $\pm\infty$).,Contrapositive of MCT: convergent bounded. An unbounded monotone sequence surpasses every $M$.,,LRA::Sequences
thm:seq-determined-by-values,Sequences,When are two sequences equal?,"Two sequences $x, y : \mathbb{N} \to X$ are equal iff $x_n = y_n$ for all $n \in \mathbb{N}$.",Sequences are functions; function equality is pointwise equality.,,LRA::Sequences
prop:conv-inherited,Sequences,State: convergence is inherited by subsequences.,If $(a_n)\to L$ then every subsequence $(a_{n_k})\to L$.,"For $\varepsilon>0$ pick $N$; since $n_k\ge k$, $k\ge N$ forces $n_k\ge N$.",,LRA::Sequences
prop:boundedness-inherited,Sequences,State: boundedness is inherited.,If $(a_n)$ is bounded then every subsequence is bounded by the same bound.,,,LRA::Sequences
prop:monotonicity-inherited,Sequences,State: monotonicity is inherited.,If $(a_n)$ is monotone then every subsequence is monotone in the same direction.,,,LRA::Sequences
thm:finite-partition-convergence,Sequences,State the Finite Partition Convergence Principle.,"If $\mathbb{N}=E_1\cup\cdots\cup E_k$ (finite partition, each $E_i$ infinite) and $(a_n)_{n\in E_i}\to L$ for each $i$, then $a_n\to L$.",Take the maximum of the finitely many thresholds $N_i$.,,LRA::Sequences
cor:residue-class-convergence,Sequences,State Residue-Class Convergence.,"If $(a_{kn+r})\to L$ for each $r\in\{0,\ldots,k-1\}$, then $(a_n)\to L$.",The residue classes form a finite partition of $\mathbb{N}$; apply Finite Partition Convergence.,,LRA::Sequences
cor:even-odd-convergence,Sequences,State Even-Odd Convergence.,If $(a_{2n})\to L$ and $(a_{2n+1})\to L$ then $(a_n)\to L$.,Special case of Residue-Class Convergence with $k=2$.,,LRA::Sequences
thm:index-growth,Sequences,State the Index Growth lemma.,If $(n_k)$ is strictly increasing in $\mathbb{N}$ then $n_k\ge k$ for all $k$.,Induction: $n_1\ge 1$; $n_{k+1}\ge n_k+1\ge k+1$.,,LRA::Sequences
thm:subseq-inherit-limits,Sequences,State: subsequences inherit limits.,If $a_n\to L$ then $a_{n_k}\to L$ for every subsequence $(a_{n_k})$.,,,LRA::Sequences
thm:conv-even-odd,Sequences,State convergence via even and odd subsequences.,$(a_n)\to L$ iff $(a_{2n})\to L$ and $(a_{2n+1})\to L$.,,,LRA::Sequences
thm:bw,Sequences,State Bolzano--Weierstrass.,Every bounded sequence in $\mathbb{R}$ has a convergent subsequence.,Extract a monotone subsequence (Monotone Subsequence Theorem); bounded monotone sequences converge (MCT).,,LRA::Sequences
cor:subseq-limits-exist,Sequences,State: every bounded sequence has a subsequential limit.,If $(a_n)$ is bounded then $\mathcal{L}(a_n)\neq\varnothing$.,"By BW, extract a convergent subsequence; its limit is a subsequential limit.",,LRA::Sequences
cor:seq-compact-closed-intervals,Sequences,State sequential compactness of closed intervals.,"Every sequence in $[a,b]$ has a convergent subsequence whose limit lies in $[a,b]$.","BW gives a convergent subsequence; the limit is in $[a,b]$ since $[a,b]$ is closed.",,LRA::Sequences
thm:monotone-subseq-theorem,Sequences,State the Monotone Subsequence Theorem.,Every sequence in $\mathbb{R}$ has a monotone subsequence.,"Peak argument: if infinitely many peak terms, they form a decreasing subsequence; if finitely many, extract an increasing one from beyond the last peak.",,LRA::Sequences
thm:dense-subsequence-criterion,Sequences,State the Dense Subsequence Criterion.,"If every neighbourhood of $L$ contains infinitely many terms of $(a_n)$, then $(a_n)$ has a subsequence converging to $L$.","From $B_{1/k}(L)$ containing infinitely many terms, pick $n_k>n_{k-1}$ with $|a_{n_k}-L|<1/k$.",,LRA::Sequences
